1000000000,The Witcher 3: Wild Hunt,CD Projekt RED,CD Projekt,Publicadora 1,Action RPG,18,9.5,59.99,2015,false
1000000001,Grand Theft Auto V,Rockstar North,Rockstar Games,Publicadora 2,Action-Adventure,18,9.7,29.99,2013,false
1000000002,Red Dead Redemption 2,Rockstar Studios,Rockstar Games,Publicadora 3,Action-Adventure,18,9.8,59.99,2018,false
1000000003,The Last of Us Part II,Naughty Dog,Sony Interactive Entertainment,Publicadora 4,Action-Adventure,18,9.6,59.99,2020,false
1000000004,God of War,SIE Santa Monica Studio,Sony Interactive Entertainment,Publicadora 5,Action-Adventure,18,9.8,39.99,2018,false
1000000005,Minecraft,Mojang,Mojang,Publicadora 6,Adventure/Educational,10,9.2,19.99,2011, false
1000000006,Overwatch,Blizzard Entertainment,Blizzard Entertainment,Publicadora 7,First-Person Shooter,14,9.4,39.99,2016, false
1000000007,Fortnite,Epic Games,Epic Games,Publicadora 8,Battle Royale,14,8.8,0.00,2017,false
1000000008,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,Publicadora 9,Action-Adventure,12,9.7,59.99,2017,false
1000000009,Super Mario Odyssey,Nintendo EPD,Nintendo,Publicadora 10,Platformer,10,9.5,59.99,2017,false
1000000010,Call of Duty: Warzone,Infinity Ward,Activision,Publicadora 11,First-Person Shooter,18,8.9,0.00,2020,false
1000000011,Cyberpunk 2077,CD Projekt RED,CD Projekt,Publicadora 12,Action RPG,18,8.7,59.99,2020,false
1000000012,Fortnite: Save the World,Epic Games,Epic Games,Publicadora 13,Co-op Sandbox,12,8.3,39.99,2017,true
1000000013,Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,Publicadora 14,Action RPG,18,8.6,59.99,2020,false
1000000014,FIFA 21,EA Vancouver,EA Sports,Publicadora 15,Sports,livre,7.9,59.99,2020,false
1000000015,Resident Evil Village,Capcom,Capcom,Publicadora 16,Survival Horror,18,9.3,59.99,2021,false
1000000016,Halo Infinite,343 Industries,Microsoft Studios,Publicadora 17,First-Person Shooter,18,7.5,59.99,2021,false
1000000017,Death Stranding,Kojima Productions,Sony Interactive Entertainment,Publicadora 18,Action,18,8.5,59.99,2019,false
1000000018,Pokémon Sword and Shield,Game Freak,Nintendo,Publicadora 19,Role-Playing Game,10,8.2,59.99,2019,false
1000000019,Rocket League,Psyonix,Epic Games,Publicadora 20,Sports,livre,9.1,0.00,2015,false
1000000020,Apex Legends,Respawn Entertainment,Electronic Arts,Publicadora 21,Battle Royale,16,8.7,.00,2019,false
1000000021,Genshin Impact,miHoYo,miHoYo,Publicadora 22,Action RPG,12,9.0,0.00,2020,false
1000000022,Battlefield V,DICE,Electronic Arts,Publicadora 23,First-Person Shooter,18,8.4,29.99,2018,false
1000000023,Persona 5,RPG,Atlus,Publicadora 24,Role-Playing Game,18,9.5,59.99,2016,false
1000000024,Among Us,InnerSloth,InnerSloth,Publicadora 25,Social Deduction,10,8.6,0.00,2018,DLC
1000000025,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,Publicadora 26,Battle Royale,10,8.0,19.99,2020,false
1000000026,Final Fantasy VII Remake,Square Enix,Square Enix,Publicadora 27,Action RPG,16,9.4,59.99,2020,false
1000000027,Horizon Zero Dawn,Guerilla Games,Sony Interactive Entertainment,Publicadora 28,Action RPG,16,9.1,49.99,2020,false
1000000028,Minecraft Dungeons,Mojang,Mojang,Publicadora 29,Action-Adventure,10,8.3,19.99,2020,true
1000000029,Star Wars Jedi: Fallen Order,Respawn Entertainment,Electronic Arts,Publicadora 30,Action-Adventure,16,8.9,59.99,2019,false
1000000030,Pokémon Red and Blue,Game Freak,Nintendo,Publicadora 31,Role-Playing Game,10,9.0,29.99,1996,false
1000000031,Pokémon Gold and Silver,Game Freak,Nintendo,Publicadora 32,Role-Playing Game,10,9.2,29.99,1999,false
1000000032,Pokémon Ruby and Sapphire,Game Freak,Nintendo,Publicadora 33,Role-Playing Game,10,9.1,29.99,2002,false
