1000000000,The Witcher 3: Wild Hunt,CD Projekt RED,CD Projekt,Action RPG,18,9.5,59.99,2015,false
1000000001,Grand Theft Auto V,Rockstar North,Rockstar Games,Action-Adventure,18,9.7,29.99,2013,false
1000000002,Red Dead Redemption 2,Rockstar Studios,Rockstar Games,Action-Adventure,18,9.8,59.99,2018,false
1000000003,The Last of Us Part II,Naughty Dog,Sony Interactive Entertainment,Action-Adventure,18,9.6,59.99,2020,false
1000000004,God of War,SIE Santa Monica Studio,Sony Interactive Entertainment,Action-Adventure,18,9.8,39.99,2018,false
1000000005,Minecraft,Mojang,Mojang,Adventure/Educational,10,9.2,19.99,2011, false
1000000006,Overwatch,Blizzard Entertainment,Blizzard Entertainment,First-Person Shooter,14,9.4,39.99,2016, false
1000000007,Fortnite,Epic Games,Epic Games,Battle Royale,14,8.8,0.00,2017,false
1000000008,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,Action-Adventure,12,9.7,59.99,2017,false
1000000009,Super Mario Odyssey,Nintendo EPD,Nintendo,Platformer,10,9.5,59.99,2017,false
1000000010,Call of Duty: Warzone,Infinity Ward,Activision,First-Person Shooter,18,8.9,0.00,2020,false
1000000011,Cyberpunk 2077,CD Projekt RED,CD Projekt,Action RPG,18,8.7,59.99,2020,false
1000000012,Fortnite: Save the World,Epic Games,Epic Games,Co-op Sandbox,12,8.3,39.99,2017,true
1000000013,Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,Action RPG,18,8.6,59.99,2020,false
1000000014,FIFA 21,EA Vancouver,EA Sports,Sports,livre,7.9,59.99,2020,false
1000000015,Resident Evil Village,Capcom,Capcom,Survival Horror,18,9.3,59.99,2021,false
1000000016,Halo Infinite,343 Industries,Microsoft Studios,First-Person Shooter,18,7.5,59.99,2021,false
1000000017,Death Stranding,Kojima Productions,Sony Interactive Entertainment,Action,18,8.5,59.99,2019,false
1000000018,Pokémon Sword and Shield,Game Freak,Nintendo,Role-Playing Game,10,8.2,59.99,2019,false
1000000019,Rocket League,Psyonix,Epic Games,Sports,livre,9.1,0.00,2015,false
1000000020,Apex Legends,Respawn Entertainment,Electronic Arts,Battle Royale,16,8.7,.00,2019,false
1000000021,Genshin Impact,miHoYo,miHoYo,Action RPG,12,9.0,0.00,2020,false
1000000022,Battlefield V,DICE,Electronic Arts,First-Person Shooter,18,8.4,29.99,2018,false
1000000023,Persona 5,RPG,Atlus,Role-Playing Game,18,9.5,59.99,2016,false
1000000024,Among Us,InnerSloth,InnerSloth,Social Deduction,10,8.6,0.00,2018,true
1000000025,Fall Guys: Ultimate Knockout,Mediatonic,Devolver Digital,Battle Royale,10,8.0,19.99,2020,false
1000000026,Final Fantasy VII Remake,Square Enix,Square Enix,Action RPG,16,9.4,59.99,2020,false
1000000027,Horizon Zero Dawn,Guerilla Games,Sony Interactive Entertainment,Action RPG,16,9.1,49.99,2020,false
1000000028,Minecraft Dungeons,Mojang,Mojang,Action-Adventure,10,8.3,19.99,2020,true
1000000029,Star Wars Jedi: Fallen Order,Respawn Entertainment,Electronic Arts,Action-Adventure,16,8.9,59.99,2019,false
1000000030,Pokémon Red and Blue,Game Freak,Nintendo,Role-Playing Game,10,9.0,29.99,1996,false
1000000031,Pokémon Gold and Silver,Game Freak,Nintendo,Role-Playing Game,10,9.2,29.99,1999,false
1000000032,Pokémon Ruby and Sapphire,Game Freak,Nintendo,Role-Playing Game,10,9.1,29.99,2002,false
1000000033,Pokémon FireRed and LeafGreen,Game Freak,Nintendo,Role-Playing Game,10,9.3,29.99,2004,false
1000000034,Pokémon Diamond and Pearl,Game Freak,Nintendo,Role-Playing Game,10,9.2,39.99,2006,false
1000000035,Pokémon Platinum,Game Freak,Nintendo,Role-Playing Game,10,9.4,39.99,2008,false
1000000036,Pokémon HeartGold and SoulSilver,Game Freak,Nintendo,Role-Playing Game,10,9.5,39.99,2009,false
1000000037,Pokémon Black and White,Game Freak,Nintendo,Role-Playing Game,10,9.3,39.99,2010,false
1000000038,Pokémon Black 2 and White 2,Game Freak,Nintendo,Role-Playing Game,10,9.2,39.99,2012,false
1000000039,Pokémon X and Y,Game Freak,Nintendo,Role-Playing Game,10,9.4,39.99,2013,false
1000000040,Pokémon Omega Ruby and Alpha Sapphire,Game Freak,Nintendo,Role-Playing Game,10,9.5,39.99,2014,false
1000000041,Pokémon Sun and Moon,Game Freak,Nintendo,Role-Playing Game,10,9.4,39.99,2016,false
1000000042,Pokémon Ultra Sun and Ultra Moon,Game Freak,Nintendo,Role-Playing Game,10,9.3,39.99,2017,false
1000000043,Pokémon Let's Go,Game Freak,Nintendo,Role-Playing Game,10,9.2,49.99,2018,false
1000000044,Pokémon Sword and Shield,Game Freak,Nintendo,Role-Playing Game,10,9.0,59.99,2019,false
1000000045,Pokémon Mystery Dungeon: Rescue Team DX,Spike Chunsoft,Nintendo,Dungeon Crawler,10,8.8,59.99,2020,false
1000000046,Pokémon Home,The Pokémon Company,The Pokémon Company,Utility,10,8.7,0.00,2020,false
1000000047,Pokémon Café ReMix,The Pokémon Company,The Pokémon Company,Puzzle,10,8.5,0.00,2021,false
1000000048,Pokémon Unite,TiMi Studio Group,The Pokémon Company,Multiplayer Online Battle Arena,10,8.6,0.00,2021,false
1000000049,New Pokémon Snap,BANDAI NAMCO Entertainment,Nintendo,Simulation,10,8.9,59.99,2021,false
1000000050,Pokémon Brilliant Diamond and Shining Pearl,ILCA,Nintendo,Role-Playing Game,10,9.0,59.99,2021,false
1000000051,Pokémon Legends: Arceus,Game Freak,Nintendo,Role-Playing Game,10,9.2,59.99,2022,false
1000000052,Pokémon Sleep,Select Button,The Pokémon Company,Utility,10,8.4,0.00,2022,false
1000000053,Pokémon Café ReMix: Ultimate Collection,The Pokémon Company,The Pokémon Company,Puzzle,10,8.7,0.00,2022,false
1000000054,Pokémon Smile,GENIUS SONORITY,The Pokémon Company,Utility,10,8.2,0.00,2020,false
1000000055,Pokémon Sleepwalker,Select Button,The Pokémon Company,Platformer,10,8.6,0.00,2023,false
1000000056,Pokémon Ranger: Shadows of Almia,HAL Laboratory,Nintendo,Action-Adventure,10,8.5,39.99,2008,false
